specification,n,n_removed,removed_fraction_target,mean,median,mean_abs,p05,p95,max_abs
full_sample,661,0,0.0,0.00034577488900029924,0.0004692104313035,0.002535272367759029,-0.005166230907343,0.0055685877602875,0.0177308712439709
remove_top_1pct_abs,654,7,0.01,0.0003836705614531537,0.00047518925994455,0.0024127375525755715,-0.00494765828293225,0.005371771554841825,0.0115637969143214
remove_top_5pct_abs,627,34,0.05,0.0003441798500431269,0.0004658588041304,0.0021245846202757883,-0.00438381958408817,0.004718311111189212,0.0071440948093389
