specification,boundary,return_definition,n,correlation,alpha_daily,beta,r2,tracking_error_ann,tracking_difference_ann_compounded,tracking_diff_mean,tracking_diff_median,tracking_diff_p05,tracking_diff_p95,tracking_diff_max_abs
xnas_simple_primary,exact_xnas_close,simple,660,0.9996510861641287,-2.67845370148404e-05,1.0087441945935218,0.9993022940691221,0.013704742236866314,-0.006063588918024054,-1.5589555249015876e-05,-8.720057463450025e-06,-0.0014274950911161352,0.001322471780070184,0.005281949019803001
xnas_log_sensitivity,exact_xnas_close,log,660,0.9996457472196536,-3.1116958034403414e-05,1.0086423155338666,0.9992916199343386,0.013767490498034319,-0.006063588918024276,-2.413510764467664e-05,-8.726059872774542e-06,-0.0014793556780620348,0.001316545886841331,0.00561728525389283
utc00_simple_boundary_sensitivity,00:00_utc_start_of_session_date,simple,660,0.1781918683269439,0.001039950324495536,0.18310476979257068,0.03175234193784693,0.6236355586343592,0.00301150530744021,3.7323257914451354e-05,-0.0008246762208205987,-0.05857239437557186,0.06357034173189988,0.2389947786333244
utc00_log_boundary_sensitivity,00:00_utc_start_of_session_date,log,660,0.18366637808490738,0.0006380894338260002,0.18870613874979214,0.033733338438827976,0.6208559114272444,0.0030115053074335485,1.1932459558562142e-05,-0.000833692543340557,-0.05917723099054815,0.06194987061576728,0.2451747594475971
